name, start, end, estimate, cost, label
中午,2021-7-18 12:09,2021-7-18 14:19,30,129.38,0
睡觉,2021-7-18 14:19,2021-7-18 16:08,30,108.93,0
mess,2021-7-18 16:08,2021-7-18 16:49,30,41.08,0
高等数学第六章,2021-7-18 16:49,2021-7-18 18:55,60,125.97,1
吃饭&直播,2021-7-18 18:55,2021-7-18 21:03,60,128.72,0
极限与连续题目,2021-7-18 21:03,2021-7-18 22:27,60,84.05,1
学英语,2021-7-18 22:27,2021-7-18 23:47,50,79.8,1
吃饭,2021-7-19 9:47,2021-7-19 9:59,15,12.2,0
记英语单词,2021-7-19 9:59,2021-7-19 10:42,20,43,1
rest,2021-7-19 10:42,2021-7-19 10:51,10,8.72,0
高等数学第七章,2021-7-19 10:51,2021-7-19 12:11,50,80.44,1
中午吃饭&直播,2021-7-19 12:11,2021-7-19 13:45,50,13.82,0
画图之类的,2021-7-19 13:45,2021-7-19 14:01,20,15.84,1
直播,2021-7-19 14:01,2021-7-19 14:07,10,5.93,0
画图,2021-7-19 14:07,2021-7-19 14:41,10,34.07,1
睡觉,2021-7-19 14:41,2021-7-19 16:43,15,122.71,0
waste time,2021-7-19 16:43,2021-7-19 17:16,15,32.64,0
拖延 整Excel公式,2021-7-19 17:16,2021-7-19 18:03,20,47.38,0
杂事,2021-7-19 18:03,2021-7-19 18:13,10,9.39,0
高等数学第七章,2021-7-19 18:13,2021-7-19 19:50,60,97.14,1
学习,2021-7-19 19:50,2021-7-19 20:05,10,15.07,1
吃饭,2021-7-19 20:05,2021-7-19 20:30,20,24.56,0
看直播,2021-7-19 20:30,2021-7-19 20:44,20,14.11,0
辅导张克宁,2021-7-19 20:44,2021-7-19 21:29,30,44.7,1
英语恋练有词,2021-7-19 21:29,2021-7-19 22:27,30,58.45,1
数学极限与连续题目,2021-7-19 22:27,2021-7-20 0:16,30,108.98,1
研究Excel数据透视表,2021-7-20 0:16,2021-7-20 0:43,20,26.91,1
Share,2021-7-20 10:43,2021-7-20 11:21,10,37.95,0
上厕所- -,2021-7-20 11:21,2021-7-20 11:37,10,15.46,0
拖延,2021-7-20 11:37,2021-7-20 11:44,10,7.33,0
mess,2021-7-20 11:44,2021-7-20 12:00,10,16.13,0
看直播,2021-7-20 12:00,2021-7-20 12:15,10,14.82,0
函数与极限作业题,2021-7-20 12:15,2021-7-20 12:52,30,37.53,1
吃饭&睡觉,2021-7-20 12:52,2021-7-20 14:59,40,126.19,0
极限与连续题目,2021-7-20 14:59,2021-7-20 16:45,30,106.09,1
极限与连续题目,2021-7-20 16:45,2021-7-20 17:13,30,28.47,1
研究Excel,2021-7-20 17:13,2021-7-20 17:25,20,12.29,0
学英语,2021-7-20 17:25,2021-7-20 17:57,25,31.42,1
rest,2021-7-20 17:57,2021-7-20 18:58,30,61.38,0
学习英语,2021-7-20 18:58,2021-7-20 19:11,20,13.16,1
吃饭,2021-7-20 19:11,2021-7-20 20:07,30,55.68,0
mess,2021-7-20 20:07,2021-7-20 20:35,30,27.64,0
