name, start, end, estimate, cost, label
数学课,2021-8-4 22:35,2021-8-4 23:21,60,46.72,1
数学课,2021-8-5 9:25,2021-8-5 11:17,60,111.85,1
chill,2021-8-5 11:17,2021-8-5 11:46,30,28.98,0
chilllll,2021-8-5 11:46,2021-8-5 11:56,5,9.75,0
数学课,2021-8-5 11:56,2021-8-5 12:37,30,40.71,1
吃饭,2021-8-5 12:37,2021-8-5 13:12,30,35.91,0
拖延+睡觉,2021-8-5 13:42,2021-8-5 16:46,50,183.69,0
数学课,2021-8-5 16:46,2021-8-5 17:01,15,15.23,1
ANKI 学习,2021-8-5 17:01,2021-8-5 20:14,45,192.44,0
学英语,2021-8-6 10:11,2021-8-6 10:22,15,11,1
anki,2021-8-6 10:22,2021-8-6 10:36,15,14,0
规划今日,2021-8-6 10:39,2021-8-6 10:53,10,13.87,1
1800对改,2021-8-6 10:53,2021-8-6 13:09,45,135.75,1
吃饭,2021-8-6 13:09,2021-8-6 13:31,45,22.19,0
看直播玩游戏,2021-8-6 13:31,2021-8-6 15:08,15,97.3,0
躺一会,2021-8-6 15:08,2021-8-6 15:46,15,37.31,0
复习多元函数微分学,2021-8-6 15:46,2021-8-6 15:57,30,11.59,1
多元函数微分学1800,2021-8-6 15:57,2021-8-6 18:06,60,129.03,1
伽马函数,2021-8-6 18:06,2021-8-6 18:31,10,24.75,1
英语APP,2021-8-6 18:31,2021-8-6 19:17,25,46.06,1
relax,2021-8-6 19:17,2021-8-6 19:37,25,20.46,0
吃饭,2021-8-6 19:37,2021-8-6 20:54,50,76.97,0
英语APP,2021-8-6 20:59,2021-8-6 21:23,15,23.35,1
整理Excel,2021-8-6 21:23,2021-8-6 21:36,15,13.58,0
数学课,2021-8-6 21:36,2021-8-6 22:15,20,38.5,1
单词APP,2021-8-6 22:15,2021-8-6 22:34,20,18.98,1
chill,2021-8-6 22:34,2021-8-6 22:44,10,10.12,0
看手机,2021-8-7 9:00,2021-8-7 9:13,10,12.97,0
数学课,2021-8-7 9:13,2021-8-7 10:10,30,57.46,1
吃饭 拖延,2021-8-7 10:10,2021-8-7 11:08,30,57.61,0
数学课,2021-8-7 11:08,2021-8-7 12:39,60,90.8,1
relax,2021-8-7 12:39,2021-8-7 12:48,10,8.9,0
数学课,2021-8-7 12:48,2021-8-7 13:06,20,18.34,1
吃饭看电脑,2021-8-7 13:06,2021-8-7 14:20,50,73.91,0
数学课,2021-8-7 14:20,2021-8-7 14:48,10,28.3,1
arrange things,2021-8-7 14:48,2021-8-7 15:59,30,71.12,0
睡觉,2021-8-7 15:59,2021-8-7 16:52,30,52.25,0
settle,2021-8-7 16:52,2021-8-7 16:59,10,6.97,0
复习多元函数微分学,2021-8-7 16:59,2021-8-7 17:16,10,17.57,1
微分学1800,2021-8-7 17:16,2021-8-7 18:06,40,49.94,1
APP,2021-8-7 18:06,2021-8-7 18:45,25,39.4,1
settle,2021-8-7 18:45,2021-8-7 18:54,10,8.32,0
锻炼身体,2021-8-7 18:54,2021-8-7 19:19,30,25.16,0
对改1800,2021-8-7 19:19,2021-8-7 19:27,5,7.65,1
吃饭看直播,2021-8-7 19:27,2021-8-7 20:59,40,92.1,0
1800微分题目,2021-8-7 20:59,2021-8-7 22:15,60,76.79,1
relax,2021-8-7 22:15,2021-8-7 22:20,5,4.74,0
1800,2021-8-7 22:20,2021-8-7 23:18,30,57.92,1
完成没有完成的1800,2021-8-8 11:55,2021-8-8 12:17,20,22.6,1
1800,2021-8-8 12:17,2021-8-8 12:23,5,5.06,1
吃饭,2021-8-8 12:23,2021-8-8 12:59,40,36.16,0
1800,2021-8-8 21:02,2021-8-8 21:34,25,31.53,1
chill,2021-8-8 21:34,2021-8-8 21:46,10,12.25,0
英语APP,2021-8-8 21:46,2021-8-8 22:51,45,65.08,1
复习Notion,2021-8-8 22:51,2021-8-8 23:21,45,29.93,1
睡觉,2021-8-9 14:08,2021-8-9 14:54,25,45.61,0
英语转移,2021-8-9 14:54,2021-8-9 15:43,30,49.66,1
英语格式调整,2021-8-9 15:43,2021-8-9 16:13,15,29.47,1
rest 拖延,2021-8-9 16:13,2021-8-9 16:38,15,24.58,0
改进timer  方便计时提醒,2021-8-9 16:38,2021-8-9 17:07,25,29.71,0
不定积分复习与1800,2021-8-9 17:07,2021-8-9 17:53,30,46.05,1
锻炼身体,2021-8-9 17:53,2021-8-9 18:19,30,25.67,0
不定积分 1800,2021-8-9 18:19,2021-8-9 19:01,30,41.76,1
rest,2021-8-9 19:01,2021-8-9 19:20,30,19.05,0
1800对改,2021-8-9 19:20,2021-8-9 20:09,20,49.48,1
吃饭,2021-8-9 20:09,2021-8-9 21:04,40,54.89,1
APP,2021-8-9 21:04,2021-8-9 22:07,40,62.5,1
?,2021-8-9 22:07,2021-8-9 23:07,40,60.18,0
APP,2021-8-9 23:07,2021-8-9 23:17,20,9.72,1
数学课不定积分,2021-8-10 10:42,2021-8-10 12:02,60,79.45,1
chill,2021-8-10 12:02,2021-8-10 12:07,5,5.45,0
play,2021-8-10 12:07,2021-8-10 12:37,20,29.18,0
 吃饭 记了一组单词,2021-8-10 12:37,2021-8-10 13:22,20,45.7,0
看网页,2021-8-10 13:22,2021-8-10 13:32,20,10.15,0
拖延,2021-8-10 13:32,2021-8-10 13:38,5,5.34,0
睡觉 冥想,2021-8-10 13:38,2021-8-10 16:10,55,152.44,0
settle,2021-8-10 16:10,2021-8-10 16:21,10,10.63,0
APP,2021-8-10 16:21,2021-8-10 16:44,25,22.84,1
settlement,2021-8-10 16:44,2021-8-10 16:56,15,12.69,0
1800不定积分,2021-8-10 16:56,2021-8-10 18:16,60,79.85,1
APP,2021-8-10 18:16,2021-8-10 18:33,15,16.95,1
SETTLE,2021-8-10 18:33,2021-8-10 18:51,10,17.42,0
拖延,2021-8-10 18:51,2021-8-10 18:58,10,7.33,0
复习,2021-8-10 18:58,2021-8-10 19:22,15,23.6,1
炒菜,2021-8-10 19:22,2021-8-10 20:06,15,44.68,0
吃饭 看直播,2021-8-10 20:06,2021-8-10 21:27,50,80.61,0
复习定积分和Notion,2021-8-10 21:29,2021-8-10 23:35,60,125.64,1
1800,2021-8-11 10:38,2021-8-11 12:00,60,81.88,1
REST,2021-8-11 12:00,2021-8-11 12:44,60,43.34,0
?,2021-8-11 12:44,2021-8-11 12:49,5,5,0
APP,2021-8-11 12:49,2021-8-11 12:53,15,4.22,1
吃饭,2021-8-11 12:53,2021-8-11 13:49,50,55.84,0
睡觉,2021-8-11 13:49,2021-8-11 14:48,35,59.25,0
APP,2021-8-11 14:48,2021-8-11 15:21,20,32.97,1
1800题目,2021-8-11 15:21,2021-8-11 16:07,20,46.14,1
改进timer,2021-8-11 16:07,2021-8-11 16:52,30,44.64,0
定积分,2021-8-11 16:52,2021-8-11 17:52,30,60.25,1
rest,2021-8-11 17:52,2021-8-11 18:06,15,13.71,0
改进timer,2021-8-11 18:06,2021-8-11 18:54,20,48.01,0
定积分1800,2021-8-11 18:59,2021-8-11 20:16,60,77.31,1
吃饭 rest,2021-8-11 20:16,2021-8-11 21:42,60,86.52,0
rest,2021-8-11 21:42,2021-8-11 21:55,10,13.12,0
复习Notion,2021-8-11 21:55,2021-8-11 22:48,50,52.5,1
APP,2021-8-11 22:48,2021-8-11 23:04,15,16.3,1
APP,2021-8-12 9:15,2021-8-12 9:54,25,38.47,1
1800 不定积分,2021-8-12 9:54,2021-8-12 11:10,60,76.3,1
REST,2021-8-12 11:10,2021-8-12 11:57,30,47.46,0
吃饭 看直播,2021-8-12 11:57,2021-8-12 13:32,55,94.98,0
睡觉,2021-8-12 13:32,2021-8-12 16:15,25,162.19,0
1800题目,2021-8-12 16:15,2021-8-12 17:29,25,74.27,1
简化代码,2021-8-12 17:29,2021-8-12 18:03,25,33.63,0
视频课,2021-8-12 18:03,2021-8-12 19:10,60,67.58,1
timer改进,2021-8-12 19:10,2021-8-12 19:57,25,46.6,0
吃饭,2021-8-12 19:57,2021-8-12 20:23,30,25.69,0
整理英语,2021-8-12 20:23,2021-8-12 20:49,20,25.89,1
数学课,2021-8-12 20:49,2021-8-12 21:35,35,45.72,1
英语总结,2021-08-13 10:02:11.907233,2021-08-13 10:08:45.123343,10,6.55,1
洗头,2021-08-13 10:08:45.123343,2021-08-13 10:17:05.324877,10,8.34,0
英语总结,2021-08-13 10:17:05.324877,2021-08-13 10:45:13.110338,10,28.13,1
研究耳机,2021-08-13 10:45:13.110338,2021-08-13 11:00:13.004648,10,15.00,0
test 玩,2021-08-13 11:23:59.071904,2021-08-13 11:24:19.892486,10,0.35,0
test 学1,2021-08-13 11:24:19.892486,2021-08-13 11:24:28.009721,10,0.14,1
test 学2,2021-08-13 11:24:28.009721,2021-08-13 11:24:35.889084,10,0.13,1
test 玩,2021-08-13 11:24:35.889084,2021-08-13 11:24:45.649160,10,0.16,0
test 学学,2021-08-13 11:24:45.649160,2021-08-13 11:24:54.106936,10,0.14,1
test 玩,2021-08-13 11:24:54.106936,2021-08-13 11:25:02.961384,10,0.15,0
不定积分,2021-08-13 11:54:28.297684,2021-08-13 12:57:59.708135,40,63.52,1
吃饭,2021-08-13 12:57:59.708135,2021-08-13 13:34:26.259146,40,36.44,0
看直播,2021-08-13 13:34:26.259146,2021-08-13 14:00:34.383776,40,26.14,0
睡觉 看手机,2021-08-13 14:00:34.383776,2021-08-13 14:55:57.645740,40,55.39,0
settle,2021-08-13 14:55:57.645740,2021-08-13 15:07:13.226039,15,11.26,0
1800,2021-08-13 15:07:13.226039,2021-08-13 15:31:07.080504,15,23.90,1
定积分网课,2021-08-13 15:31:07.080504,2021-08-13 16:30:02.868258,60,58.93,1
rest,2021-08-13 16:30:02.868258,2021-08-13 16:46:58.662079,15,16.93,0
数学课,2021-08-13 16:46:58.662079,2021-08-13 17:21:37.145121,30,34.64,1
APP,2021-08-13 17:21:37.145121,2021-08-13 17:52:56.778427,10,31.33,1
数学课,2021-08-13 17:52:56.778427,2021-08-13 18:22:30.420530,25,29.56,1
rest,2021-08-13 18:22:30.420530,2021-08-13 18:49:55.290239,25,27.41,0
meditation & 吃东西 看直播,2021-08-13 18:49:55.290239,2021-08-13 19:43:59.837739,35,54.08,0
数学视频 (中断),2021-08-13 19:43:59.837739,2021-08-13 19:52:57.766637,35,8.97,1
吃饭 看直播,2021-08-13 19:52:57.766637,2021-08-13 21:10:11.175494,35,77.22,0
数学课,2021-08-13 21:10:11.175494,2021-08-13 22:01:23.604792,35,51.21,1
APP,2021-08-13 22:01:23.604792,2021-08-13 22:24:23.629422,15,23.00,1
看b站,2021-08-14 10:34:14.253958,2021-08-14 11:16:13.646906,10,41.99,0
数学课,2021-08-14 11:16:13.646906,2021-08-14 12:26:14.563915,30,70.02,1
数学课,2021-08-14 12:26:14.563915,2021-08-14 13:12:20.351601,30,46.10,1
吃饭,2021-08-14 13:12:20.351601,2021-08-14 13:45:38.316690,30,33.30,0
睡觉,2021-08-14 13:45:38.316690,2021-08-14 14:34:15.904533,30,48.63,0
冥想 以及 杂事,2021-08-14 14:34:15.904533,2021-08-14 15:15:29.451470,30,41.23,0
乱七八糟的事情,2021-08-14 15:15:29.451470,2021-08-14 15:35:35.503312,10,20.10,0
数学课,2021-08-14 15:35:35.503312,2021-08-14 16:25:12.731191,30,49.62,1
重积分,2021-08-14 16:25:12.731191,2021-08-14 17:23:42.781185,30,58.50,1
rest,2021-08-14 17:23:42.781185,2021-08-14 17:58:39.378746,30,34.94,0
APP,2021-08-14 17:58:39.378746,2021-08-14 19:14:35.357780,30,75.93,1
吃饭,2021-08-14 19:14:35.357780,2021-08-14 20:33:42.379175,50,79.12,0
数学课,2021-08-14 20:33:42.379175,2021-08-14 21:38:14.203371,50,64.53,1
chill,2021-08-14 21:38:14.203371,2021-08-14 21:47:20.368658,10,9.10,0
???,2021-08-14 21:47:20.368658,2021-08-14 22:02:50.847221,10,15.51,0
APP,2021-08-14 22:02:50.847221,2021-08-14 22:17:26.749870,10,14.60,1
settle,2021-08-15 09:06:05.896080,2021-08-15 09:19:28.778250,10,13.38,0
数学课补,2021-08-15 09:19:28.778250,2021-08-15 09:44:28.910560,10,25.00,1
吃饭 看视频,2021-08-15 09:44:28.910560,2021-08-15 10:33:02.889939,10,48.57,0
数学课,2021-08-15 10:33:02.889939,2021-08-15 12:16:29.841883,60,103.45,1
rest,2021-08-15 12:16:29.841883,2021-08-15 13:04:08.941123,30,47.65,0
APP,2021-08-15 13:04:08.941123,2021-08-15 13:37:53.437438,20,33.74,1
吃饭,2021-08-15 13:37:53.437438,2021-08-15 14:07:20.719992,20,29.45,0
看手机 睡觉,2021-08-15 14:07:20.719992,2021-08-15 16:55:27.283100,40,168.11,0
SETTLE,2021-08-15 16:55:27.283100,2021-08-15 17:25:37.408784,20,30.17,0
定积分1800,2021-08-15 17:25:37.408784,2021-08-15 18:52:28.202733,60,86.85,1
讲题,2021-08-15 18:52:28.202733,2021-08-15 19:07:12.271904,15,14.73,0
?,2021-08-15 19:07:12.271904,2021-08-15 19:22:12.743225,15,15.01,0
APP,2021-08-15 19:22:12.743225,2021-08-15 20:06:43.236999,20,44.51,1
吃饭,2021-08-15 20:06:43.236999,2021-08-15 20:32:13.552729,20,25.51,0
拖延,2021-08-16 09:17:05.047455,2021-08-16 09:33:24.142850,10,16.32,0
规划今天 并且下载了一些效率软件 实际上可能只是在拖延,2021-08-16 09:33:24.142850,2021-08-16 10:46:31.512935,35,73.12,0
看电影 吃饭,2021-08-16 10:46:31.512935,2021-08-16 12:51:53.098690,60,125.36,0
看手机 睡觉,2021-08-16 12:51:53.098690,2021-08-16 15:06:02.306431,60,134.15,0
1800 题目,2021-08-16 15:06:02.306431,2021-08-16 16:47:55.553910,60,101.89,1
rest,2021-08-16 16:47:55.553910,2021-08-16 17:24:53.006927,15,36.96,0
1800,2021-08-16 17:24:53.006927,2021-08-16 18:24:35.914323,60,59.72,1
MESS,2021-08-16 18:24:35.914323,2021-08-16 19:03:05.557804,30,38.49,0
做菜,2021-08-16 19:03:05.557804,2021-08-16 19:38:15.510720,30,35.17,0
冥想,2021-08-16 19:38:15.510720,2021-08-16 20:00:57.105730,30,22.69,0
吃饭,2021-08-16 20:00:57.105730,2021-08-16 20:56:15.721072,30,55.31,0
1800 定积分,2021-08-16 20:56:15.721072,2021-08-16 21:25:36.124030,30,29.34,1
记单词APP,2021-08-16 21:25:36.124030,2021-08-16 22:17:03.282161,30,51.45,1
复习Notion,2021-08-16 22:17:03.282161,2021-08-16 22:51:33.604818,30,34.51,1
复习Notion 定积分,2021-08-17 10:40:57.028344,2021-08-17 12:19:09.935147,60,98.22,1
洗脸 SETTLE,2021-08-17 12:19:09.935147,2021-08-17 12:32:06.011437,15,12.93,0
APP,2021-08-17 12:32:06.011437,2021-08-17 12:52:00.867649,25,19.91,1
吃饭,2021-08-17 12:52:00.867649,2021-08-17 13:27:22.622518,25,35.36,0
睡觉,2021-08-17 13:27:22.622518,2021-08-17 14:59:10.826006,30,91.80,0
冥想,2021-08-17 14:59:10.826006,2021-08-17 15:32:33.405725,20,33.38,0
拖延,2021-08-17 15:32:33.405725,2021-08-17 15:46:57.131839,20,14.40,0
拖延,2021-08-17 15:46:57.131839,2021-08-17 16:09:11.266648,20,22.24,0
复习Notion,2021-08-17 16:09:11.266648,2021-08-17 17:04:56.041678,20,55.75,1
复习Notion,2021-08-17 17:04:56.041678,2021-08-17 17:19:26.354854,20,14.51,1
洗衣服,2021-08-17 17:19:26.354854,2021-08-17 17:38:12.403198,20,18.77,0
锻炼身体,2021-08-17 17:38:12.403198,2021-08-17 18:01:38.170902,20,23.43,0
APP,2021-08-17 18:01:38.170902,2021-08-17 18:30:41.494178,20,29.06,1
糖醋,2021-08-17 18:30:41.494178,2021-08-17 18:38:35.029520,20,7.89,0
看微博,2021-08-17 18:38:35.029520,2021-08-17 19:02:10.911682,20,23.60,0
Notion 复习,2021-08-17 19:02:10.911682,2021-08-17 19:30:09.664793,20,27.98,1
炒菜,2021-08-17 19:30:09.664793,2021-08-17 20:13:13.572633,20,43.07,0
吃饭,2021-08-17 20:13:13.572633,2021-08-17 20:40:42.779834,20,27.49,0
数学课,2021-08-17 20:40:42.779834,2021-08-17 21:05:48.136811,20,25.09,1
吃东西,2021-08-17 21:05:48.136811,2021-08-17 21:26:35.103211,20,20.78,0
数学课,2021-08-17 21:26:35.103211,2021-08-17 23:06:29.787283,60,99.91,1
数学课,2021-08-18 10:19:56.202073,2021-08-18 12:42:44.939689,60,142.81,1
吃饭,2021-08-18 12:42:44.939689,2021-08-18 13:23:22.503576,60,40.63,0
睡觉,2021-08-18 13:24:23.047989,2021-08-18 14:38:52.448863,30,74.49,0
???,2021-08-18 14:38:52.448863,2021-08-18 15:37:25.096615,30,58.54,0
冥想,2021-08-18 15:37:25.096615,2021-08-18 16:03:41.790905,30,26.28,0
李永乐,2021-08-18 16:03:41.790905,2021-08-18 16:36:29.002022,30,32.79,1
幸福课,2021-08-18 16:38:15.887941,2021-08-18 18:28:11.331082,60,109.92,1
APP,2021-08-18 18:28:11.331082,2021-08-18 19:03:11.991023,15,35.01,1
rest,2021-08-18 19:03:11.991023,2021-08-18 19:42:21.966063,20,39.17,0
吃饭  出去买东西,2021-08-18 19:42:21.966063,2021-08-18 22:19:08.755664,60,156.78,0
数学课,2021-08-19 10:51:42.891159,2021-08-19 11:32:50.016139,60,41.12,1
rest,2021-08-19 11:32:50.016139,2021-08-19 12:10:27.342686,30,37.62,0
数学课,2021-08-19 12:12:22.689714,2021-08-19 12:55:40.128604,35,43.29,1
吃饭,2021-08-19 12:55:40.128604,2021-08-19 13:41:59.878202,35,46.33,0
睡觉,2021-08-19 13:41:59.878202,2021-08-19 15:28:34.279597,40,106.57,0
settle,2021-08-19 15:28:34.279597,2021-08-19 15:37:14.257596,10,8.67,0
数学课,2021-08-19 15:37:14.257596,2021-08-19 16:47:47.611218,50,70.56,1
洗澡,2021-08-19 16:47:47.611218,2021-08-19 17:26:22.960147,30,38.59,0
刮胡子,2021-08-19 17:26:22.960147,2021-08-19 17:46:06.190470,20,19.72,0
看电脑,2021-08-19 17:46:06.190470,2021-08-19 18:23:38.967954,20,37.55,0
剪头发,2021-08-19 18:23:38.967954,2021-08-19 19:14:39.104716,60,51.00,0
看电脑 吃饭,2021-08-19 19:14:39.104716,2021-08-19 20:46:51.439419,60,92.21,0
数学课,2021-08-19 20:46:51.439419,2021-08-19 21:47:38.616248,60,60.79,1
